id,name,registry_code,favicon,is_unicorn,industries,business_types,lists,display_name,turnover,labour_taxes,employees,lq_turnover,lq_labour_taxes,lq_employees,ly_turnover,ly_labour_taxes,ly_employees,employees_change,turnover_change_percentage,labour_taxes_change_percentage,ly_employees_change,ly_turnover_change_percentage,ly_labour_taxes_change_percentage
f2a01215-f0d9-4b3a-b9c6-c0e4688d45ea,MONTONIO FINANCE OÜ,14557628,/logos/static/14557628.webp,False,['Fintech'],"['B2B2C', 'B2B']","['EstVCA2022', 'EstVCA2020', 'EstVCA2024', 'EstVCA2023', 'Superangel', 'ALL', 'EstVCA2021']",MONTONIO,2410026.84,297375.31,34.0,322371.86,268742.81,35.0,2155249.56,297076.82,40.0,-1.0,648,11,-6.0,12,0
f5c14c3c-327b-4116-9c7e-c1aab9854cc3,"CLICK & GROW, OÜ",11739568,/logos/static/11739568.webp,False,[],[],"['EstVCA2024', 'EstVCA2023', 'ALL', 'EstVCA2021', 'EstVCA2019', 'EstVCA2022', 'EstVCA2020']","CLICK & GROW, OÜ",798843.84,232905.17,33.0,750411.20,165138.10,34.0,1085608.35,275968.06,36.0,-1.0,6,41,-3.0,-26,-16
99197307-0ab6-4203-808d-94acf466f23e,FRACTORY SOLUTIONS OÜ,14300852,/logos/static/14300852.webp,False,"['Engineering', 'Infrastructure & Logistics', 'Manufacturing']",['B2B'],"['EstVCA2019', 'EstVCA2022', 'EstVCA2020', 'EstVCA2021', 'EstVCA2024', 'EstVCA2023', 'ALL']",FRACTORY,1930443.42,270486.65,32.0,1687561.06,341811.29,33.0,2484262.49,294159.85,37.0,-1.0,14,-21,-5.0,-22,-8
ba0bb731-bada-496a-8072-5a074f91a90d,TESTLIO OÜ,12449969,/logos/static/12449969.webp,False,[],[],"['EstVCA2024', 'EstVCA2023', 'ALL']",TESTLIO,745594.19,274846.53,32.0,977866.19,321045.20,31.0,1100714.04,387813.55,41.0,1.0,-24,-14,-9.0,-32,-29
b9d4950c-ef4b-4218-8570-1e8171dd6eb8,ESTATEGURU OÜ,12558919,/logos/static/12558919.webp,False,"['Proptech', 'Fintech']","['B2B2C', 'B2B', 'B2C']",['ALL'],ESTATEGURU,,274181.54,31.0,,232707.89,32.0,,274902.89,41.0,-1.0,,18,-10.0,,0
0f7715da-caa7-46ed-97a3-88db17f9b1da,CLEVON AS,16472103,,False,[],[],"['EstVCA2024', 'EstVCA2023', 'ALL']",CLEVON AS,22514.80,199952.10,30.0,31231.83,107511.88,37.0,122236.77,384746.01,58.0,-7.0,-28,86,-28.0,-82,-48
1eea159a-7cec-4921-bb2e-09103292ba8d,DYNATRACE ESTONIA OÜ,14194054,/logos/static/14194054.webp,False,[],[],"['EstVCA2019', 'EstVCA2021', 'EstVCA2022', 'ALL', 'EstVCA2020']",DYNATRACE ESTONIA OÜ,5767125.43,406323.55,30.0,27176783.17,385142.99,31.0,11658253.87,355101.58,29.0,-1.0,-79,5,1.0,-51,14
4e04479b-c1ad-4c90-9eda-4d4e05fafd73,POWERUP FUEL CELLS OÜ,14110442,/logos/static/14110442.webp,False,"['Deep tech', 'Cleantech', 'Energy']","['B2B', 'B2B2C']",['ALL'],POWERUP FUEL CELLS OÜ,84456.62,161448.98,30.0,50260.53,148297.50,30.0,53954.85,98287.73,29.0,0.0,68,9,1.0,57,64
52efff7a-66c6-4380-92cb-7d5c82104fc3,EAGRONOM OÜ,14092394,/logos/static/14092394.webp,False,"['Agriculture, Aquaculture & Agritech']",['B2B'],"['EstVCA2019', 'EstVCA2020', 'EstVCA2024', 'EstVCA2023', 'Superangel', 'ALL', 'EstVCA2021', 'EstVCA2022']",EAGRONOM,840217.43,267591.98,30.0,562350.15,219832.51,27.0,524640.77,211776.55,31.0,3.0,49,22,-1.0,60,26
60194c89-697e-4e67-ae6f-77ef8973b158,MRPEASY OÜ,12617332,/logos/static/12617332.ico,False,['Software & Services'],['B2B'],['ALL'],MRP EASY,2089728.09,248393.52,30.0,2012243.59,211340.94,32.0,1647198.93,260887.88,27.0,-2.0,4,18,3.0,27,-5
76c3c992-a03f-4dbe-8819-72281b503887,FUSEBOX OÜ,12773434,/logos/static/12773434.webp,False,"['Energy', 'Software & Services', 'Cleantech']",['B2B'],['ALL'],FUSEBOX ENERGY,504648.90,214723.16,30.0,273138.57,197460.02,20.0,267827.28,147373.84,18.0,10.0,85,9,12.0,88,46
fa28e209-dfe5-4f8e-b369-91ba4a610dac,BISLY OÜ,12198160,,False,[],[],"['EstVCA2024', 'ALL', 'EstVCA2023']",BISLY OÜ,851328.20,264819.15,30.0,958918.60,259173.13,29.0,266991.19,118414.04,21.0,1.0,-11,2,9.0,219,124
962f0420-7e73-488d-a0a1-2c29632c470f,CYBERCUBE ANALYTICS DIGITAL OÜ,14720100,/logos/static/14720100.webp,False,['Software & Services'],['B2B'],['ALL'],CYBERCUBE ANALYTICS,748284.77,261493.86,28.0,742618.19,254231.58,24.0,799829.70,221917.32,24.0,4.0,1,3,4.0,-6,18
2784ad2f-dccb-45e2-90c2-15259c1372d3,AS LHV PAYTECH,12280690,/logos/static/12280690.webp,False,[],[],['ALL'],AS LHV PAYTECH,559110.25,227806.11,27.0,482084.77,222793.36,27.0,429882.51,189562.29,25.0,0.0,16,2,2.0,30,20
5a1f1ecd-3cd7-4bce-a2ca-a0941d5fb021,GUARDTIME OÜ,11313216,/logos/static/11313216.ico,False,[],[],['ALL'],GUARDTIME OÜ,1449804.72,418347.27,27.0,1637016.87,554824.24,48.0,2165680.59,970069.21,64.0,-21.0,-11,-25,-37.0,-33,-57
052f117c-ee39-4a8d-8f15-67d5e133f399,ERPLY SOFTWARE OÜ,11099473,/logos/static/11099473.ico,False,[],[],['ALL'],ERPLY SOFTWARE OÜ,2190117.35,248289.24,26.0,2971913.45,236802.41,29.0,1393051.38,254464.29,32.0,-3.0,-26,5,-6.0,57,-2
62c06e26-f190-47bf-a738-d75bd1abea99,SNABB OÜ,12801774,/logos/static/12801774.webp,False,"['E-commerce', 'Proptech', 'Software & Services']",['B2B'],['ALL'],SNABB,1057497.22,83418.98,26.0,1091776.13,72321.12,25.0,694134.01,62946.77,20.0,1.0,-3,15,6.0,52,33
6ed2aca2-1f62-4bdb-8fb6-4fc3b5962d7a,KAPPAZETA OÜ,12928204,/logos/static/12928204.ico,False,"['Data & Analytics', 'Deep tech', 'Software & Services']","['B2G', 'B2B']",['ALL'],KAPPAZETA,266460.09,122599.38,26.0,315671.60,97199.91,23.0,178644.60,96410.21,18.0,3.0,-16,26,8.0,49,27
0d346751-ed52-4464-8abe-3170c3427a33,"QURETEC, OÜ",11043739,,False,[],[],['ALL'],"QURETEC, OÜ",378933.59,131693.54,25.0,335850.99,121558.70,26.0,323616.82,159424.55,27.0,-1.0,13,8,-2.0,17,-17
6e767c2b-1aa9-4ef0-9a8e-5bea23a69cbf,1OT OÜ,14611026,/logos/static/14611026.ico,False,"['Telecommunication & Services', 'Software & Services']",['B2B'],['ALL'],1OT,1554394.29,144528.58,25.0,1379013.00,123071.27,23.0,1051259.62,105878.33,24.0,2.0,13,17,1.0,48,37
ec8937ca-d966-4592-b5a3-9306ad31f7b4,MODASH OÜ,14434162,,False,['Software & Services'],['B2B'],"['EstVCA2022', 'EstVCA2024', 'EstVCA2023', 'ALL']",MODASH,6783327.62,234314.78,25.0,4887032.49,185136.25,24.0,1954231.09,117727.22,13.0,1.0,39,27,12.0,247,99
f241c3a3-65d9-428c-af35-0e8260ad5fb3,AGILEWORKS AS,12018637,/logos/static/12018637.webp,False,[],[],['ALL'],AGILEWORKS AS,507188.07,136472.98,25.0,345341.07,129322.65,29.0,430766.58,133445.41,27.0,-4.0,47,6,-2.0,18,2
0b90a5bf-02bf-4e34-96d9-6e84264dd367,AUVE TECH OÜ,14635771,/logos/static/14635771.webp,False,"['Infrastructure & Logistics', 'Automotive', 'Transportation']","['B2B', 'B2B2C']",['ALL'],AUVE,287114.76,207301.47,24.0,1697070.61,194461.46,26.0,2276064.42,225708.54,33.0,-2.0,-83,7,-9.0,-87,-8
6e028f27-2a41-4648-a895-94cdea73819e,ESTO AS,14180709,,False,"['Software & Services', 'E-commerce', 'Fintech']",['B2B2C'],['ALL'],ESTO,224992.06,110244.71,24.0,230760.38,111472.71,26.0,218780.59,130763.46,24.0,-2.0,-2,-1,0.0,3,-16
7219b981-ddb6-4470-bfd6-f5745e1f48f4,MESSENTE COMMUNICATIONS OÜ,12418041,/logos/static/12418041.webp,False,['Telecommunication & Services'],['B2B'],['ALL'],MESSENTE COMMUNICATIONS,8472348.09,213700.02,24.0,7874015.90,185782.36,24.0,6399578.10,172331.18,24.0,0.0,8,15,0.0,32,24
f3e961af-ecf4-4326-8b49-aef2031101e6,LEI REGISTER OÜ,14412769,,False,"['Fintech', 'Software & Services']",['B2B'],['ALL'],LEI REGISTER,5211869.63,148549.69,24.0,4761967.93,129114.04,24.0,4275997.78,137688.39,24.0,0.0,9,15,0.0,22,8
0a83948b-b67b-489b-99a0-b8fbbc345d66,READY PLAYER ME OÜ,12583780,/logos/static/12583780.webp,False,['Software & Services'],"['B2B2C', 'B2B']","['ALL', 'EstVCA2023', 'EstVCA2024']",WOLF3D,1498769.89,308248.81,23.0,1164633.34,290132.94,27.0,1285513.47,325036.32,31.0,-4.0,29,6,-8.0,17,-5
0e874640-2112-420f-85a2-21fcb4918f85,KRATTWORKS OÜ,14580679,/logos/static/14580679.webp,False,"['Defence', 'Hardware & Electronic Equipment', 'Software & Services']","['B2G', 'B2B']",['ALL'],KRATTWORKS,220816.08,92596.39,22.0,89787.43,69620.80,22.0,108263.85,56029.30,16.0,0.0,146,33,6.0,104,65
984aa9cd-beda-4907-b1a5-55863f2494e5,RANGEFORCE OÜ,12735735,,False,"['Software & Services', 'Telecommunication & Services']",['B2B'],"['EstVCA2022', 'EstVCA2019', 'EstVCA2020', 'EstVCA2024', 'EstVCA2023', 'ALL', 'EstVCA2021']",RANGEFORCE,617757.56,174174.72,22.0,891346.90,317391.58,23.0,825932.49,310931.61,33.0,-1.0,-31,-45,-11.0,-25,-44
c64e716c-c37c-44d7-a719-aebb6627ef74,SALV TECHNOLOGIES OÜ,14518700,/logos/static/14518700.webp,False,"['Software & Services', 'Fintech']",['B2B'],"['Superangel', 'EstVCA2023', 'EstVCA2024', 'EstVCA2020', 'EstVCA2022', 'EstVCA2019', 'EstVCA2021', 'ALL']",SALV,1463613.79,307138.07,21.0,1271205.11,246344.92,30.0,1143774.74,414832.50,49.0,-9.0,15,25,-28.0,28,-26
dc630730-17a3-44b4-b7d7-61652be83714,PRNEWS OÜ,14603363,/logos/static/14603363.ico,False,"['Software & Services', 'Marketing', 'Media']","['B2B', 'B2B2C']",['ALL'],PRNEWS.IO,1430147.52,110396.54,21.0,1116684.75,94826.57,19.0,1091407.90,74493.99,19.0,2.0,28,16,2.0,31,48
f05eb4cd-a1d7-4ab9-8e52-faf6c16c9f4d,ROOFIT SOLAR ENERGY OÜ,12978418,/logos/static/12978418.webp,False,"['Energy', 'Materials & Chemicals', 'Cleantech']","['B2B2C', 'B2B', 'B2C']",['ALL'],ROOFIT.SOLAR,991220.37,208676.08,21.0,1286240.79,178471.07,27.0,921856.54,263733.45,41.0,-6.0,-23,17,-20.0,8,-21
01e7fa90-e0d1-4ce4-b098-969333429386,MINDTITAN OÜ,14131800,/logos/static/14131800.webp,False,"['Fintech', 'Energy', 'Telecommunication & Services']",['B2B'],['ALL'],MINDTITAN,383411.79,87731.77,19.0,345446.29,77034.30,19.0,392089.95,95597.64,21.0,0.0,11,14,-2.0,-2,-8
64128d00-6b36-4a57-b8ac-a1bb4830eab3,"GLOBALREADER, OÜ",12657780,/logos/static/12657780.webp,False,['Engineering'],['B2B'],['ALL'],GLOBALREADER,338933.06,108512.96,19.0,292985.30,94399.80,21.0,315110.81,91648.46,17.0,-2.0,16,15,2.0,8,18
