id|company|is_unicorn|industries|display_name|turnover|employees|employees_change|turnover_change_percentage
d280d2b6-5c4f-47e9-926f-1ba6366274c7|ALLIES OÜ|False|['Human Resource & Employment', 'Software & Services']|ALLIES|377520.34|2.0|0.0|26
d7f1b3af-d528-415e-b67a-0459fe423273|HAPPY WORKPLACE OÜ|False|['Wellness', 'Research & Consulting', 'Human Resource & Employment']|HAPPYME|52723.94|2.0|-1.0|15
d836354d-507c-4c5c-87ec-65b827e935fa|FYMA OÜ|False|['Retail', 'Proptech', 'Data & Analytics']|FYMA OÜ|26457.08|2.0|0.0|6
dad1a588-49b2-482b-bbbd-089c257c074e|EXSCUDO OÜ|False|['Consumer Services', 'Retail', 'Software & Services', 'Fintech', 'E-commerce']|EXSCUDO OU||2.0|0.0|
dca10956-4638-4610-8643-03a7d3141d3e|GDPR REGISTER OÜ|False|['Software & Services', 'Legaltech']|GDPR REGISTER|41473.47|2.0|0.0|-8
ec1cb50f-34b4-43f1-906b-f7f1859795da|FENTRICA OÜ|False|['Data & Analytics', 'Hardware & Electronic Equipment', 'Software & Services']|LARVA.IO|20000.46|2.0|0.0|-36
111e1ea6-e731-434c-a470-3a2bf0f8f593|CUPLOOP OÜ|False|['Manufacturing', 'Software & Services']|CUPLOOP|25636.77|1.0|-3.0|-80
1654ad16-a26d-469a-a396-ec9d57207343|PROCUREMENT FLOW OÜ|False|['Construction', 'Software & Services', 'Engineering']|PROCUREMENTFLOW.COM|22545.42|1.0|0.0|65
18a57ad5-8811-44fd-8303-088c09081abc|CONSORTO GLOBAL OÜ|False|['Software & Services', 'Proptech']|CONSORTO|2956.33|1.0|0.0|27
1d51f87d-a678-4136-bc2d-053a8a48efdf|FOXIOT OÜ|False|['Software & Services', 'Hardware & Electronic Equipment', 'Consumer Electronics & Appliances']|FOXIOT|29157.80|1.0|0.0|-7
2028e3a1-ee58-49ff-9e41-4c7cfea4e0b5|NORDIC BLUE COMMUNICATIONS OÜ|False|['Software & Services']|MIRATAG|34866.91|1.0|0.0|-18
27a8fd5c-7b47-491c-a536-fa31f8ac1e9f|BUGBOX OÜ|False|['Cleantech', 'Agriculture, Aquaculture & Agritech', 'Software & Services']|BUGBOX LTD|7285.96|1.0|0.0|3081
