id|company|is_unicorn|industries|display_name|turnover|employees|employees_change|turnover_change_percentage|False
17175007-bf07-492e-aece-297ca3c1e32b|BETTER MEDICINE OÜ|False|['Medical Devices', 'Science Tools & Services', 'Healthcare']|BETTER MEDICINE|12594.71|14.0|2.0|538|False
0e1d4b4c-0a7c-4c3f-ac07-d5bec1ec8c90|LIGHTCODE PHOTONICS OÜ|False|['Deep tech', 'Hardware & Electronic Equipment', 'Engineering']|LIGHTCODE PHOTONICS|7660.75|13.0|0.0|71|False
32cf4697-2492-4c24-8b4b-a2b1403447cb|ARBONICS OÜ|False|['Forestry & Paper', 'Software & Services', 'Cleantech']|ARBONICS|250842.60|13.0|1.0|-4|False
d2524c14-cd07-45c3-a2f2-c5c3fc36d2a1|RINGO ECO OÜ|False|['Cleantech', 'Retail', 'Infrastructure & Logistics']|RINGO|52474.22|13.0|0.0|-40|False
9712ffd0-9f61-4885-b6a2-f1d98722572b|SENDSMAILY OÜ|False|['Software & Services', 'Telecommunication & Services', 'Data & Analytics']|SMAILY EMAIL MARKETING AND AUTOMATION|448349.68|12.0|0.0|13|False
a312f15f-1329-47af-bb09-10cfa5b3a781|CARA HEALTH OÜ|False|['Digital Health', 'E-commerce', 'Healthcare']|CARÁ HEALTH|20276.37|12.0|1.0|18|False
122cb03d-0c84-4286-9506-2726c92a3654|EZIIL PRODUCTION INTELLIGENCE OÜ|False|['Software & Services', 'Engineering']|EZIIL PRODUCTION INTELLIGENCE OÜ|143981.90|11.0|0.0|-15|False
06efd5fe-6972-4bef-93a4-0eb4b86eeec9|OÜ EYEVI TECHNOLOGIES|False|['Road & Rail', 'Construction', 'Data & Analytics']|EYEVI TECHNOLOGIES|303269.37|10.0|0.0|-35|False
a63ad63f-4004-415c-9c41-db08ac286d09|REBELROAM OÜ|False|['Telecommunication & Services', 'Transportation', 'Software & Services']|REBELROAM OÜ|1342616.02|10.0|0.0|8|False
1a43a76e-3f45-4962-aaef-c03c246f5d9e|UPSTEAM EESTI OÜ|False|['Software & Services', 'Transportation', 'Automotive']|FLEETFOX|55801.77|9.0|0.0|-128|False
3d7c976a-5773-48fb-b705-3d1cacf56793|THINNECT OÜ|False|['Telecommunication & Services', 'Software & Services']|THINNECT|115930.43|9.0|0.0|184|False
833ba022-c3bb-4a44-a42b-9fc6625d0dd2|HEPTA GROUP AIRBORNE OÜ|False|['Cleantech', 'Data & Analytics', 'Energy']|HEPTA AIRBORNE (ESTONIA)|275513.81|9.0|2.0|-38|False
e0ab8f6d-1400-4686-bf49-2a625ef8891e|MYDELLO OÜ|False|['Road & Rail', 'Aerospace', 'Transportation']|MYDELLO|1903360.49|9.0|-1.0|-3|False
214313a4-da2b-4a9e-a3be-bbd7c35a85b3|DRIVEX TECHNOLOGIES OÜ|False|['Automotive', 'Deep tech']|DRIVEX TECHNOLOGIES|123002.90|8.0|0.0|3|False
b91afc94-2c51-4acc-94b8-21fe3d657101|BIDRENT OÜ|False|['Software & Services', 'Cleantech', 'Proptech']|BIDRENTO|123317.49|8.0|-2.0|4|False
c013b9af-924a-44a9-86f8-4b3f632a1c4f|REVERSE RESOURCES OÜ|False|['Manufacturing', 'Data & Analytics']|REVERSE RESOURCES|463963.97|8.0|2.0||False
c79387a5-8d5a-482f-8fd7-f7f1a8abc8fe|BOTGUARD OÜ|False|['Software & Services', 'Telecommunication & Services']|BOTGUARD|9448518.40|8.0|1.0|372|False
e0ca3322-cd49-4e0f-9230-bbbec5cdc4ba|GRIDIO 2.0 OÜ|False|['Energy']|GRIDIO|31074.54|8.0|1.0|48|False
0b9ee7dd-eeea-4191-9177-2d1dce2d2361|SPACEIT OÜ|False|['Software & Services', 'Data & Analytics', 'Aerospace']|SPACEIT|326876.38|7.0|0.0|23|False
8fe146dd-8fa2-427b-a9bd-ba5464237f67|OÜ REWILD|False|['Data & Analytics', 'Transportation', 'Construction']|REWILD|104764.51|7.0|0.0|17|False
994c21db-4ac3-4e94-b6ce-6126dda9fabc|MAGNETIC IP OÜ|False|['Household & Personal Products', 'Energy']|MAGNETIC IP OU|34389.34|7.0|-1.0|212|False
d074fc98-3149-4bc5-9884-f372f70da3b5|WAYBILLER OÜ|False|['Transportation', 'Infrastructure & Logistics', 'Software & Services']|WAYBILLER OÜ|127534.94|7.0|0.0|-1|False
d8a1c34f-ff58-4bce-85f6-b228d1e8a1f9|AUTLO OÜ|False|['Transportation', 'Fintech']|AUTLO OÜ|182667.57|7.0|1.0|149|False
277bcc0b-210f-4ff1-af40-aad83741602f|CLOUD FACTORY OÜ|False|['Creative Industries', 'Textiles, Apparel & Luxury Goods', 'Manufacturing']|CLOUD FACTORY|147960.43|6.0|0.0|147|False
2c121324-93c0-44b2-bf34-be04363b9bb8|AUTOBAHN TECHNOLOGIES OÜ|False|['Data & Analytics', 'Software & Services', 'Manufacturing']|AUTOBAHN|266658.50|6.0|1.0|15|False
2d9141ff-ddf7-45cd-befc-8ddee6a1cb37|TARKVENT OÜ|False|['Proptech', 'Cleantech', 'Energy']|CALIDITY|111667.42|6.0|-1.0|-33|False
7ed41e23-4ade-484e-9ac7-5860057a17fb|SINGLE.EARTH OÜ|False|['Fintech', 'Cleantech']|SINGLE.EARTH||6.0|0.0||False
983bc7f9-5309-4cf6-b975-b1bbef5b4725|ELIKO LOCATION TECHNOLOGIES OÜ|False|['Manufacturing', 'Deep tech', 'Hardware & Electronic Equipment']|ELIKO RTLS|110953.49|6.0|4.0|110|False
08c43f4b-8588-461b-ad16-26294a090762|10LINES OÜ|False|['Deep tech', 'Machinery & Electrical', 'Software & Services']|10LINES|13460.26|5.0|-2.0|-84|False
9b54bfc1-d16f-420b-a112-92fe8cbf1943|GPO OÜ|False|['Energy', 'Software & Services', 'Consumer Electronics & Appliances']|GPO|9627.20|5.0|0.0|-53|False
c88e25e3-990d-470b-9c31-30e33301dcd9|ZEROFY OÜ|False|['Cleantech', 'Energy']|ZEROFY|316581.18|5.0|1.0|-30|False
d81ea2d0-8dce-4d2a-b107-9b7125e2d6fd|AS BERCMAN TECHNOLOGIES|False|['Consumer Services', 'Household & Personal Products', 'Manufacturing']|BERCMAN TECHNOLOGIES|76482.54|5.0|0.0|-6|False
d93d162f-077f-4c6b-a99a-938fe6414b11|ADOPTOMEDIA OÜ|False|['Software & Services', 'Manufacturing']|ADOPTOMEDIA|42500.00|5.0|0.0|6|False
ec7852f7-5296-460e-99c8-7bc60a3cdc52|OÜ SYNBASE|False|['Medical Devices', 'Science Tools & Services', 'Healthcare']|SYNBASE|214615.58|5.0|1.0|22|False
f8a05d07-dbab-4abf-972a-6bb396fdae55|SOFTCOMPLY OÜ|False|['Medical Devices', 'Aerospace', 'Healthcare']|SOFTCOMPLY|271389.14|5.0|0.0|21|False
ff5568cf-5695-45fa-b809-47e142616636|PROMOTY MARKETING OÜ|False|['Telecommunication & Services']|PROMOTY|47103.17|5.0|0.0|103|False
0c360f18-aafb-492f-8337-290702966106|CAREMATE OÜ|False|['Software & Services', 'Healthcare', 'Telecommunication & Services']|CAREMATE|21859.49|4.0|0.0|21|False
1263b8f8-4ea0-4984-bb98-e0eb3ac139fb|WAZOMBI LABS OÜ|False|['Consumer Electronics & Appliances']|SOMA SMART HOME|84535.05|4.0|0.0|-6|False
82432bbf-2fd9-469c-95fb-ab5c7f9722ba|TRAXBY OÜ|False|['Telecommunication & Services', 'Software & Services']|TRAXBY|55902.73|4.0|0.0|-26|False
9e40f08e-6d3a-4a71-95b0-a150845ada24|GELATEX TECHNOLOGIES OÜ|False|['Materials & Chemicals', 'Biotechnology', 'Machinery & Electrical']|GELATEX|103292.36|4.0|-1.0|80|False
b286ea7e-bb96-4f79-8943-1f79b58c03a2|LTMED OÜ|False|['Medical Devices', 'Healthcare']|NEURAKINESIS|184769.22|4.0|0.0|-17|False
dda02617-54fb-4e2c-8d79-936651c015ed|FLEETGURU OÜ|False|['Data & Analytics', 'Automotive', 'Software & Services']|FLEETGURU|103446.69|4.0|1.0|34|False
01347f91-965c-426c-8dbb-bf1dc990076a|VETIK OÜ|False|['Cleantech', 'Agriculture, Aquaculture & Agritech']|VETIK OÜ|3086.98|3.0|0.0||False
0f4f9012-8c20-4e30-9d83-476e150b814b|SMART MASTERKEY OÜ|False|['Cleantech', 'Household & Personal Products', 'Hardware & Electronic Equipment']|BLE LOCKING|20648.90|3.0|-1.0|100|False
15f8ec09-a7be-475f-b206-b9c34dcaad4b|CAPTAIN CORROSION OÜ|False|['Manufacturing']|CAPTAIN CORROSION|86500.00|3.0|-2.0|88|False
27f9aa21-0b80-444e-a7de-5cc270bf2a72|HOTELBUDDY TECHNOLOGY OÜ|False|['Travel & Hospitality', 'Hardware & Electronic Equipment', 'Software & Services']|HOTELBUDDY|8997.20|3.0|0.0|-87|False
66918f32-5292-4cc7-945f-fa49e1569626|SMART LOAD SOLUTIONS OÜ|False|['Energy', 'Cleantech', 'Software & Services']|THEMO|564786.27|3.0|0.0|110|False
9df51c38-5e32-4ccd-a3a9-88a86a0e1fe8|ADACT OÜ|False|['Software & Services', 'Telecommunication & Services']|ADACT|102404.70|3.0|0.0|35|False
bf1d1625-66a8-4215-9518-4d1419410c2b|GUAVAHR OÜ|False|['Telecommunication & Services']|GUAVAHR|106493.67|3.0|0.0|40|False
0834faf8-da8a-40d7-b49a-e94bd05228fb|NORTHWIND ENGINEERING OÜ|False|['Manufacturing', 'Energy']|CHALLENGER SOLUTIONS|12391.86|2.0|0.0|-69|False
3801477b-4ae8-4777-80ac-89ea86ee8888|SKUDO OÜ|False|['Manufacturing', 'Aerospace', 'Software & Services']|SKUDO OU|22181.95|2.0|0.0|-74|False
5f1e1020-fd2f-4f91-9930-163410f20052|RHOMTRIP OÜ|False|['Transportation', 'Software & Services', 'Travel & Hospitality']|RHOMTRIP|255317.78|2.0|0.0|-26|False
72d94e89-b773-43a8-beae-188d4f7ac1b5|FACT INDUSTRIES OÜ|False|['Engineering', 'Manufacturing']|FACT INDUSTRIES|3561.00|2.0|0.0|5470|False
7fbfcaf1-e9ee-4aed-be99-fe958e743089|PAUL-TECH OÜ|False|['Software & Services', 'Agriculture, Aquaculture & Agritech']|PAUL-TECH|62165.73|2.0|0.0|-37|False
8d235ae1-11a6-444f-be7b-a636d68f1012|NUTRILOOP OÜ|False|['Agriculture, Aquaculture & Agritech', 'Engineering']|NUTRILOOP|4877.60|2.0|0.0|-14|False
c2d770cc-7b07-4e65-94dd-23eb53c37300|WAPI OÜ|False|['Transportation', 'Infrastructure & Logistics', 'Software & Services']|WAPI|5032700.20|2.0|0.0|24|False
cbba5a5b-bd57-46d2-ad7a-3745d5b4f6d0|TUGE ENERGIA OÜ|False|['Energy', 'Engineering']|TUGE ENERGIA OÜ|187977.30|2.0|0.0|1528|False
d7f1b3af-d528-415e-b67a-0459fe423273|HAPPY WORKPLACE OÜ|False|['Wellness', 'Research & Consulting', 'Human Resource & Employment']|HAPPYME|52723.94|2.0|-1.0|15|False
ec1cb50f-34b4-43f1-906b-f7f1859795da|FENTRICA OÜ|False|['Data & Analytics', 'Hardware & Electronic Equipment', 'Software & Services']|LARVA.IO|20000.46|2.0|0.0|-36|False
111e1ea6-e731-434c-a470-3a2bf0f8f593|CUPLOOP OÜ|False|['Manufacturing', 'Software & Services']|CUPLOOP|25636.77|1.0|-3.0|-80|False
1654ad16-a26d-469a-a396-ec9d57207343|PROCUREMENT FLOW OÜ|False|['Construction', 'Software & Services', 'Engineering']|PROCUREMENTFLOW.COM|22545.42|1.0|0.0|65|False
1a4d8925-2458-4f3b-a4db-5d719b73c4f8|D58 SERVICES OÜ|False|['Telecommunication & Services', 'Healthcare', 'Media']|SIGNLANG||1.0|0.0||False
1d51f87d-a678-4136-bc2d-053a8a48efdf|FOXIOT OÜ|False|['Software & Services', 'Hardware & Electronic Equipment', 'Consumer Electronics & Appliances']|FOXIOT|29157.80|1.0|0.0|-7|False
27a8fd5c-7b47-491c-a536-fa31f8ac1e9f|BUGBOX OÜ|False|['Cleantech', 'Agriculture, Aquaculture & Agritech', 'Software & Services']|BUGBOX LTD|7285.96|1.0|0.0|3081|False
2a6833f7-f8bf-48d7-8415-e95b3994d770|TRUMPAUTO OÜ|False|['Consumer Services', 'Automotive', 'Software & Services']|TRUMPAUTO|23138.22|1.0|0.0|-21|False
3528f233-2916-4aff-bd85-2ccd8951322e|VAHVA SOLUTIONS OÜ|False|['Healthcare', 'Medical Devices']|I CAN GRAB / VAHVA SOLUTIONS|7519.67|1.0|0.0|84|False
394a1006-fd50-492d-9c3b-00026036de9d|OPTIMYSE OÜ|False|['Human Resource & Employment', 'Software & Services', 'Research & Consulting']|OPTIMYSE|122967.13|1.0|-1.0|9|False
73d98e9c-f9cc-465b-99ef-d245c7cc7c14|PAGERR OÜ|False|['Forestry & Paper', 'E-commerce', 'Cleantech']|PAGERR|60891.86|1.0|-1.0|-52|False
7a9df96e-35c5-4330-a762-31ed64400a79|APARTNE OÜ|False|['Telecommunication & Services', 'Software & Services']|RIDLINE|23630.89|1.0|0.0|281|False
ae06b568-00bf-48fb-b606-f485d22d9a86|SWAPSMART OÜ|False|['Consumer Services', 'Transportation', 'Telecommunication & Services']|SMARTSWAP|60530.78|1.0|0.0|163|False
bd17fb27-17ae-40f2-92d6-24bdbae0e05b|B2B TRADE OÜ|False|['Transportation']|CITY CARRIER|278194.84|1.0|0.0|102|False
c25744ae-d523-4414-a528-9a657a2ef7be|YORSO EUROPE OÜ|False|['Software & Services', 'Agriculture, Aquaculture & Agritech']|YORSO|238047.21|1.0|0.0|74|False
f41a769f-460c-4c1f-83e0-b3162557b210|ONDEMAND APPS OÜ|False|['Transportation', 'Software & Services']|ONDE|4140745.57|1.0|0.0|2|False
021a4ea1-2b76-4dbd-8b87-31e7119c9edb|CONSCIOUS INITIATIVE OÜ|False|['Edtech', 'Healthcare', 'Manufacturing']|WELLNESS ORBIT (COMPANY NAME: CONSCIOUS INITIATIVE PLC)|2506.80|||712|False
09bb6de5-16e5-48fd-9be1-f460170b9bb4|VUUHH OÜ|False|['Software & Services', 'Manufacturing']|VUUHH|||||False
1b297b5d-060e-4628-8340-9d164a2463d6|TALLINN2EUROPE ENTERPRISES OÜ|False|['Food, Beverage & Tobacco', 'Engineering', 'Software & Services']|TALLINN2EUROPE ENTERPRISES OÜ|||||False
1c2d503a-461c-40e3-b923-df5c85eb3bb5|OPEROSE LABS OÜ|False|['Engineering', 'Software & Services']|OPEROSE LABS OÜ|||||False
1eb52d7a-ba1c-45bb-b712-2ce9df4b20dc|GOLBRIAK SPACE OÜ|False|['Telecommunication & Services']|GOLBRIAK SPACE OÜ|56023.45|||5345|False
227a517c-3b76-4d3d-9990-f54bc56a7e6f|PRECISION NAVIGATION SYSTEMS OÜ|False|['Infrastructure & Logistics', 'Agriculture, Aquaculture & Agritech', 'Deep tech']|PRECISION NAVIGATION SYSTEMS|18274.34|||44|False
2935a691-a61f-4667-853e-98d27f001209|ADDLIX OÜ|False|['Software & Services', 'Telecommunication & Services']|ADDLIX|||||False
35750779-7e3a-465a-a08d-09220b4d2c02|ETHR OÜ|False|['Medical Devices']|ETHR|39150.00||||False
3716b4de-90b3-4904-9329-da007dd74441|EASYFY OÜ|False|['Software & Services', 'Manufacturing']|FRANK.AI|||||False
